类别：所有类别,
,
Week,Tianjin: (美国)
2023/1/29,27
2023/2/5,36
2023/2/12,42
2023/2/19,29
2023/2/26,35
2023/3/5,32
2023/3/12,38
2023/3/19,34
2023/3/26,43
2023/4/2,31
2023/4/9,40
2023/4/16,41
2023/4/23,38
2023/4/30,29
2023/5/7,35
2023/5/14,34
2023/5/21,42
2023/5/28,35
2023/6/4,42
2023/6/11,36
2023/6/18,32
2023/6/25,37
2023/7/2,35
2023/7/9,34
2023/7/16,39
2023/7/23,42
2023/7/30,35
2023/8/6,38
2023/8/13,39
2023/8/20,61
2023/8/27,37
2023/9/3,36
2023/9/10,100
2023/9/17,38
2023/9/24,38
2023/10/1,31
2023/10/8,27
2023/10/15,32
2023/10/22,44
2023/10/29,85
2023/11/5,52
2023/11/12,58
2023/11/19,41
2023/11/26,39
2023/12/3,38
2023/12/10,41
2023/12/17,38
2023/12/24,33
2023/12/31,28
2024/1/7,41
2024/1/14,45
2024/1/21,32
